,exchange,datetime,level,bid_volume,ask_volume,total_volume,mid_price,spread,close_price,Symbol
0,kucoin,2023-04-27T14:00:57.708Z,100,65.83260000000007,20.76539999999999,86.59800000000006,1720.62,39.18,1697.1,ETH/EUR
1,kucoin,2023-04-27T14:00:58.293Z,100,66.58800000000008,20.76539999999999,87.35340000000006,1720.62,39.18,1697.1,ETH/EUR
2,kucoin,2023-04-27T14:00:58.864Z,100,65.58830000000006,20.745999999999988,86.33430000000004,1720.62,39.18,1697.1,ETH/EUR
3,kucoin,2023-04-27T14:00:59.501Z,100,61.01040000000007,20.745999999999988,81.75640000000006,1720.62,39.18,1697.1,ETH/EUR
4,kucoin,2023-04-27T14:01:00.077Z,100,67.68529999999994,20.745999999999988,88.43129999999994,1720.62,39.18,1697.1,ETH/EUR
5,kucoin,2023-04-27T14:01:00.658Z,100,67.68529999999994,20.745999999999988,88.43129999999994,1720.62,39.18,1697.1,ETH/EUR
6,kucoin,2023-04-27T14:01:01.242Z,100,67.68529999999994,20.745999999999988,88.43129999999994,1720.62,39.18,1697.1,ETH/EUR
7,kucoin,2023-04-27T14:01:01.874Z,100,55.932999999999936,20.76549999999999,76.69849999999992,1720.62,39.18,1697.1,ETH/EUR
8,kucoin,2023-04-27T14:01:02.450Z,100,56.90729999999993,20.76549999999999,77.67279999999991,1720.62,39.18,1697.1,ETH/EUR
9,kucoin,2023-04-27T14:01:03.034Z,100,57.0715,20.76549999999999,77.83699999999999,1720.62,39.18,1697.1,ETH/EUR
10,kucoin,2023-04-27T14:01:03.908Z,100,56.90759999999993,20.76549999999999,77.67309999999992,1720.62,39.18,1697.1,ETH/EUR
11,bittrex,2023-04-27T14:01:01.567Z,25,75.98470742,82.60874471000001,158.59345213,1707.749,29.448,1747.344,ETH/EUR
12,bittrex,2023-04-27T14:01:05.491Z,25,75.26054808,82.60874471000001,157.86929279000003,1707.749,29.448,1747.344,ETH/EUR
13,bitfinex,2023-04-27T14:01:21.314Z,25,149.64871416,194.01377963,343.66249379,1719.75,0.3,327.61227252,ETH/EUR
14,kucoin,2023-04-27T14:01:23.661Z,100,53.81390000000007,22.21459999999998,76.02850000000005,1720.63,39.16,1697.1,ETH/EUR
15,kucoin,2023-04-27T14:01:24.242Z,100,53.81390000000007,22.21459999999998,76.02850000000005,1720.63,39.16,1697.1,ETH/EUR
16,kucoin,2023-04-27T14:01:24.831Z,100,46.05830000000007,22.21459999999998,68.27290000000005,1720.63,39.16,1697.1,ETH/EUR
17,kucoin,2023-04-27T14:01:25.443Z,100,53.81390000000007,22.21459999999998,76.02850000000005,1720.63,39.16,1697.1,ETH/EUR
