,exchange,datetime,level,bid_volume,ask_volume,total_volume,mid_price,spread,Symbol
0,kucoin,2023-04-26T15:12:16.674Z,100,43.417588650000006,26.91032298,70.32791163,29751.95,0.1,BTC/USDT
1,kucoin,2023-04-26T15:12:17.003Z,100,43.28114232000001,26.836101749999997,70.11724407,29751.95,0.1,BTC/USDT
2,kucoin,2023-04-26T15:12:17.264Z,100,35.363673530000014,26.327284790000004,61.69095832000002,29751.95,0.1,BTC/USDT
3,kucoin,2023-04-26T15:12:17.535Z,100,34.231807610000004,26.762627400000003,60.994435010000004,29751.95,0.1,BTC/USDT
4,kucoin,2023-04-26T15:12:17.813Z,100,33.04415692,27.731745789999998,60.77590271,29751.95,0.1,BTC/USDT
5,kucoin,2023-04-26T15:12:18.064Z,100,35.48132520000001,27.85855732,63.33988252,29751.95,0.1,BTC/USDT
6,kucoin,2023-04-26T15:12:18.319Z,100,35.48132520000001,27.85855732,63.33988252,29751.95,0.1,BTC/USDT
7,kucoin,2023-04-26T15:12:18.574Z,100,35.65454567000001,27.763765109999998,63.41831078000001,29751.95,0.1,BTC/USDT
8,kucoin,2023-04-26T15:12:18.847Z,100,35.65454567000001,27.763765109999998,63.41831078000001,29751.95,0.1,BTC/USDT
9,kucoin,2023-04-26T15:12:19.098Z,100,31.281419380000006,27.997662350000002,59.27908173000001,29751.95,0.1,BTC/USDT
10,kucoin,2023-04-26T15:12:19.380Z,100,34.25311543000001,28.178515009999998,62.431630440000006,29751.95,0.1,BTC/USDT
11,kucoin,2023-04-26T15:12:19.640Z,100,33.91151399,28.17851391,62.0900279,29751.95,0.1,BTC/USDT
12,kucoin,2023-04-26T15:12:19.919Z,100,33.91151399,28.17851391,62.0900279,29751.95,0.1,BTC/USDT
13,kucoin,2023-04-26T15:12:20.195Z,100,35.884766160000005,28.180322789999998,64.06508895,29751.95,0.1,BTC/USDT
14,kucoin,2023-04-26T15:12:20.456Z,100,33.99987630000001,28.18699626,62.18687256000001,29751.95,0.1,BTC/USDT
15,kucoin,2023-04-26T15:12:20.720Z,100,34.03565136000001,29.65245682,63.688108180000015,29751.95,0.1,BTC/USDT
16,kucoin,2023-04-26T15:12:20.993Z,100,34.03565136000001,29.640478330000004,63.67612969000001,29751.95,0.1,BTC/USDT
17,kucoin,2023-04-26T15:12:21.257Z,100,35.08098605000001,28.76144589,63.84243194000001,29751.95,0.1,BTC/USDT
18,kucoin,2023-04-26T15:12:21.510Z,100,35.080985180000006,28.761458720000004,63.842443900000006,29751.95,0.1,BTC/USDT
19,kucoin,2023-04-26T15:12:21.761Z,100,35.085825240000005,28.342820640000003,63.428645880000005,29751.95,0.1,BTC/USDT
20,kucoin,2023-04-26T15:12:22.032Z,100,35.085825240000005,28.342820640000003,63.428645880000005,29751.95,0.1,BTC/USDT
21,kucoin,2023-04-26T15:12:22.289Z,100,34.18836954000001,28.365732930000004,62.55410247000002,29751.95,0.1,BTC/USDT
22,kucoin,2023-04-26T15:12:22.544Z,100,35.03070073000001,26.12706199,61.15776272000001,29751.95,0.1,BTC/USDT
23,kucoin,2023-04-26T15:12:22.806Z,100,34.67989742,23.72247148,58.4023689,29748.85,0.1,BTC/USDT
